majority_race,DEM,REP
Asian,1.0,0.0
Black,0.9147286821705426,0.08527131782945736
Hispanic,0.3793103448275862,0.6206896551724138
Native,0.56,0.44
White,0.10970768675568388,0.8902923132443161
