state,county,winning_party,votes_for_winner,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,majority_race
Michigan,Wexford County,REP,12102,32915.0,16480.0,16435.0,1.8,94.8,0.6,0.5,0.7,0.0,25027.0,42793.0,1776.0,22028.0,977.0,17.3,25.2,27.3,17.0,21.4,10.2,24.1,80.4,11.2,0.2,2.6,1.5,4.1,21.0,13834.0,82.0,10.2,7.5,0.3,7.2,White
Minnesota,Aitkin County,REP,6258,15841.0,8079.0,7762.0,1.3,94.1,0.5,2.2,0.4,0.0,13155.0,45860.0,1405.0,26883.0,743.0,12.1,15.9,30.7,19.9,23.1,13.2,13.0,79.4,9.1,0.5,4.1,1.5,5.4,26.0,6274.0,75.8,15.7,8.4,0.1,6.2,White
Minnesota,Anoka County,REP,104902,344861.0,172482.0,172379.0,4.2,82.7,5.5,0.5,4.2,0.0,251328.0,76796.0,917.0,34321.0,453.0,6.6,9.3,36.6,15.9,24.2,9.0,14.2,82.2,7.8,3.4,1.0,1.0,4.5,28.1,187986.0,84.5,11.0,4.3,0.1,4.2,White
Minnesota,Becker County,REP,12438,33552.0,16672.0,16880.0,1.9,86.6,0.5,7.4,0.6,0.0,24981.0,55884.0,2108.0,28525.0,860.0,12.7,17.1,32.8,17.7,18.8,13.8,16.8,78.9,8.9,0.5,3.2,1.3,7.2,22.4,16143.0,75.1,16.0,8.7,0.2,3.6,White
Minnesota,Beltrami County,REP,12188,45847.0,22775.0,23072.0,2.2,72.5,0.9,20.4,0.8,0.1,33902.0,45923.0,1753.0,23748.0,981.0,19.0,24.0,33.7,22.0,23.4,10.3,10.6,75.6,11.1,2.1,3.7,1.3,6.1,19.8,20931.0,67.8,25.5,6.5,0.2,8.7,White
Minnesota,Benton County,REP,14382,39360.0,19652.0,19708.0,2.2,91.5,2.8,0.3,1.1,0.0,28857.0,53574.0,2425.0,27018.0,844.0,14.1,17.9,31.1,17.2,22.9,9.8,19.0,82.7,8.3,1.3,1.9,1.8,4.1,23.1,20468.0,82.7,11.6,5.4,0.3,4.2,White
Minnesota,Big Stone County,REP,1863,5039.0,2489.0,2550.0,1.4,98.0,0.3,0.0,0.0,0.0,3966.0,48299.0,3265.0,29035.0,1551.0,11.7,15.8,31.7,13.2,23.2,16.2,15.6,77.3,9.9,0.4,4.3,0.6,7.5,17.5,2388.0,70.7,17.0,11.9,0.3,2.8,White
Minnesota,Blue Earth County,DEM,18330,65767.0,33054.0,32713.0,3.2,88.9,3.3,0.3,2.1,0.0,51071.0,53752.0,1543.0,28283.0,675.0,18.1,11.8,33.7,19.9,23.7,8.0,14.7,80.9,7.6,1.5,4.0,1.1,5.0,17.3,37072.0,81.0,13.5,5.4,0.1,4.5,White
Minnesota,Brown County,REP,9552,25243.0,12550.0,12693.0,4.1,93.9,0.3,0.1,0.7,0.1,19442.0,55764.0,1955.0,29696.0,1334.0,8.1,11.1,30.1,17.2,21.2,11.4,20.0,79.5,6.8,0.5,5.0,1.2,7.0,15.1,13588.0,82.1,9.4,8.4,0.2,2.3,White
Minnesota,Carlton County,DEM,10098,35408.0,18500.0,16908.0,1.7,88.3,1.6,5.3,0.5,0.0,27167.0,58874.0,2894.0,26900.0,886.0,12.1,13.5,31.3,23.1,19.9,9.8,16.0,82.6,9.5,0.1,2.0,0.8,4.9,22.2,16758.0,72.8,21.1,5.9,0.2,3.9,White
Minnesota,Carver County,REP,34009,98799.0,49086.0,49713.0,4.1,89.6,1.5,0.2,2.5,0.0,69628.0,93095.0,2193.0,44212.0,1682.0,4.0,3.3,46.5,14.3,24.2,6.1,8.9,82.5,7.0,2.0,1.2,0.9,6.4,26.3,55757.0,85.5,9.1,5.2,0.1,2.4,White
Minnesota,Cass County,REP,11620,28810.0,14698.0,14112.0,2.0,83.3,0.4,10.9,0.6,0.0,22555.0,50162.0,1142.0,28004.0,618.0,15.3,27.3,29.2,20.1,24.3,13.2,13.2,76.6,10.2,0.8,2.6,1.8,8.0,23.8,12264.0,72.7,17.1,9.7,0.5,5.7,White
Minnesota,Chippewa County,REP,4250,12040.0,5994.0,6046.0,6.3,88.8,0.6,1.4,0.7,1.0,8897.0,57601.0,5017.0,29354.0,1772.0,11.1,17.5,32.1,20.0,18.6,12.0,17.3,79.4,8.5,1.0,3.3,0.9,6.9,15.3,6270.0,77.4,14.3,8.1,0.3,2.0,White
Minnesota,Chisago County,REP,21916,54297.0,28102.0,26195.0,2.0,93.8,1.3,0.4,1.0,0.0,41208.0,76747.0,1966.0,32105.0,809.0,5.4,4.9,34.0,17.3,22.9,12.7,13.2,82.2,8.0,1.6,1.5,1.2,5.5,32.8,28244.0,82.2,12.0,5.7,0.1,4.2,White
Minnesota,Clay County,DEM,16357,62040.0,30613.0,31427.0,4.3,88.5,2.5,1.3,1.1,0.0,46089.0,61409.0,1749.0,28122.0,692.0,12.5,13.1,36.1,18.2,24.6,9.2,11.8,79.1,8.1,1.0,4.0,1.5,6.3,18.9,33502.0,79.6,14.6,5.5,0.2,2.8,White
