state,county,winning_party,votes_for_winner,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,majority_race
Delaware,Kent County,DEM,44552,173145.0,83544.0,89601.0,6.8,62.7,24.1,0.6,2.0,0.0,128114.0,57647.0,1456.0,27420.0,778.0,13.0,18.4,33.5,19.8,22.9,9.9,13.8,82.1,9.6,1.2,1.8,1.1,4.2,26.3,78078.0,74.7,21.1,4.0,0.2,6.7,White
Delaware,New Castle County,DEM,195034,555036.0,268818.0,286218.0,9.6,58.5,24.1,0.2,5.4,0.0,403642.0,68336.0,1106.0,34541.0,543.0,11.9,15.9,43.9,17.0,23.4,7.1,8.7,80.5,7.7,4.0,2.4,1.1,4.2,25.7,269164.0,84.7,12.0,3.2,0.1,6.5,White
Delaware,Sussex County,REP,71230,215551.0,104514.0,111037.0,9.2,74.9,12.1,0.4,1.2,0.0,165573.0,57901.0,1291.0,31874.0,737.0,12.0,20.8,33.3,18.7,24.0,11.2,12.8,83.4,7.3,0.7,1.6,1.3,5.6,25.3,94271.0,79.3,14.8,5.8,0.1,6.1,White
District of Columbia,District of Columbia,DEM,39041,672391.0,319046.0,353345.0,10.7,36.0,46.9,0.2,3.7,0.0,503112.0,77649.0,1075.0,50832.0,645.0,17.4,25.5,61.7,15.3,16.7,2.7,3.6,34.0,5.4,35.4,13.2,6.2,5.7,30.0,357701.0,71.0,24.6,4.3,0.1,8.0,Black
Florida,Alachua County,DEM,89704,259865.0,125712.0,134153.0,9.3,62.0,19.8,0.3,5.9,0.1,200490.0,45478.0,1546.0,26431.0,711.0,23.3,22.0,46.1,19.2,23.3,5.3,6.2,74.7,8.8,4.1,3.3,4.6,4.5,21.2,120466.0,70.2,25.5,4.2,0.1,6.6,White
Florida,Baker County,REP,11911,27537.0,14422.0,13115.0,2.4,81.9,13.8,0.4,0.7,0.0,20673.0,59506.0,4489.0,22440.0,1777.0,17.2,22.0,29.9,19.0,26.7,10.6,13.9,84.9,9.1,0.0,0.1,2.4,3.5,29.9,10567.0,69.1,26.7,4.0,0.2,5.8,White
Florida,Bay County,REP,66097,180117.0,89542.0,90575.0,6.0,77.3,10.7,0.7,2.3,0.0,137132.0,50283.0,1571.0,26742.0,677.0,15.4,22.1,32.0,22.2,25.1,10.2,10.5,81.7,10.5,1.2,1.3,2.0,3.3,22.8,80334.0,77.5,16.0,6.2,0.4,6.4,White
Florida,Bradford County,REP,10334,26775.0,14754.0,12021.0,3.8,74.5,19.1,0.3,0.6,0.0,21017.0,46106.0,5357.0,19656.0,1548.0,18.8,24.9,31.7,22.8,23.7,11.0,10.8,87.5,7.1,0.1,2.1,1.8,1.4,31.1,9118.0,71.3,24.9,3.6,0.2,7.6,White
Florida,Brevard County,REP,207883,568183.0,277666.0,290517.0,9.7,75.3,9.8,0.3,2.4,0.1,445123.0,51536.0,616.0,29405.0,419.0,13.4,19.4,38.4,19.1,24.7,8.5,9.4,81.6,8.0,0.6,1.1,2.7,6.0,24.5,239195.0,81.6,13.1,5.2,0.2,7.6,White
Florida,Broward County,DEM,618752,1890416.0,920265.0,970151.0,28.4,38.2,27.4,0.2,3.5,0.0,1247710.0,54895.0,644.0,30109.0,287.0,14.0,19.1,35.6,19.9,27.5,8.4,8.6,80.0,9.0,2.8,1.2,2.1,4.9,28.2,930561.0,83.1,10.6,6.2,0.1,7.6,White
Florida,Calhoun County,REP,5274,14458.0,7872.0,6586.0,5.8,76.9,12.8,0.9,0.8,0.0,11034.0,36237.0,2312.0,15927.0,1194.0,12.9,10.0,23.9,29.4,19.1,18.2,9.4,78.7,15.5,0.0,0.9,3.2,1.7,26.8,4698.0,71.4,23.1,5.5,0.0,8.6,White
Florida,Charlotte County,REP,73243,173236.0,84432.0,88804.0,6.9,84.4,5.5,0.3,1.2,0.0,144514.0,46511.0,1143.0,29243.0,872.0,12.0,19.6,29.0,22.3,29.0,12.1,7.6,79.0,8.8,0.2,1.0,3.2,7.7,24.7,59033.0,79.7,12.9,7.0,0.4,8.9,White
Florida,Citrus County,REP,65352,141373.0,68487.0,72886.0,5.3,88.6,2.8,0.3,1.6,0.0,117655.0,40574.0,1147.0,25034.0,924.0,17.4,30.6,28.2,23.5,25.2,11.2,11.9,81.7,8.1,0.3,1.2,2.9,5.8,25.3,45294.0,79.9,12.8,6.8,0.4,9.9,White
Florida,Clay County,REP,84480,203291.0,100119.0,103172.0,9.3,74.2,9.6,0.1,3.0,0.1,149644.0,61971.0,1829.0,28599.0,923.0,10.4,12.9,33.5,18.3,26.6,10.9,10.7,83.3,8.1,0.1,1.1,1.9,5.4,33.3,91705.0,82.1,14.1,3.8,0.1,8.1,White
Florida,Collier County,REP,128950,356774.0,175608.0,181166.0,27.2,63.6,6.8,0.2,1.3,0.0,247583.0,62407.0,1257.0,41239.0,871.0,12.8,22.8,30.6,24.2,24.1,13.5,7.6,74.6,11.3,2.4,1.5,2.8,7.3,24.5,150802.0,84.6,8.2,7.0,0.1,5.3,White
Florida,Columbia County,REP,23836,68484.0,35425.0,33059.0,5.8,73.1,17.6,0.2,0.9,0.1,52547.0,43504.0,2151.0,22855.0,1025.0,16.8,23.9,30.3,20.7,25.0,13.0,11.0,83.7,10.6,0.2,0.6,1.3,3.7,24.8,25911.0,73.2,22.3,4.4,0.2,9.5,White
Florida,DeSoto County,REP,8313,35675.0,20184.0,15491.0,30.5,55.5,12.8,0.2,0.2,0.1,24109.0,35435.0,1717.0,17892.0,1313.0,29.9,41.0,15.2,20.6,19.0,32.8,12.4,67.2,18.2,6.0,1.8,1.5,5.3,24.7,12667.0,78.9,13.2,7.7,0.2,6.1,White
Florida,Dixie County,REP,6759,16323.0,9048.0,7275.0,3.9,84.8,7.1,0.4,0.5,0.0,13063.0,35910.0,3084.0,19342.0,2088.0,23.7,32.9,25.9,17.3,24.7,16.1,15.9,77.1,14.0,0.0,1.3,1.8,5.8,26.7,4798.0,69.4,22.0,8.1,0.5,6.2,White
Florida,Duval County,DEM,252556,912043.0,442115.0,469928.0,9.0,54.1,29.3,0.2,4.6,0.1,666437.0,51296.0,541.0,28593.0,367.0,16.0,24.3,36.6,18.3,27.1,7.8,10.3,80.3,9.4,1.9,1.7,2.0,4.8,24.5,430830.0,84.1,11.4,4.5,0.1,7.4,White
Florida,Escambia County,REP,96674,309924.0,153834.0,156090.0,5.5,64.8,21.6,0.4,2.8,0.1,238553.0,47361.0,949.0,25666.0,554.0,14.6,23.8,32.6,20.6,28.8,8.3,9.7,75.9,10.6,0.6,2.1,1.7,9.0,21.9,134161.0,78.3,15.3,6.3,0.1,7.2,White
Florida,Flagler County,REP,43043,105015.0,50436.0,54579.0,10.0,74.7,10.0,0.3,2.5,0.0,83353.0,51049.0,1256.0,25741.0,654.0,13.3,21.5,31.6,19.3,31.9,9.4,7.8,83.5,6.6,0.3,0.3,1.7,7.7,25.7,39278.0,81.5,11.8,6.6,0.1,6.5,White
Florida,Franklin County,REP,4675,11675.0,6727.0,4948.0,5.2,78.2,13.6,0.1,0.4,0.7,9559.0,41267.0,3706.0,23524.0,2028.0,20.1,32.1,29.8,23.6,17.9,19.5,9.2,79.8,8.8,0.5,2.6,3.4,4.9,19.3,4305.0,63.8,23.0,13.2,0.0,7.9,White
Florida,Gadsden County,DEM,16153,46113.0,21869.0,24244.0,10.0,32.6,55.3,0.1,0.5,0.1,34299.0,39830.0,2043.0,19252.0,819.0,24.4,40.8,31.2,20.6,25.5,12.6,10.2,84.5,9.8,0.1,0.9,2.4,2.3,30.2,16338.0,61.6,34.8,3.5,0.1,8.5,Black
Florida,Gilchrist County,REP,7895,17191.0,8983.0,8208.0,5.5,87.2,5.8,0.1,0.1,0.0,13366.0,42934.0,3874.0,21145.0,1303.0,19.8,34.4,24.5,21.4,25.6,14.9,13.7,75.6,16.7,0.8,1.1,1.3,4.4,32.8,6444.0,72.8,20.1,7.0,0.0,7.4,White
Florida,Glades County,REP,3782,13197.0,7479.0,5718.0,20.8,60.7,12.9,3.8,0.4,0.0,10002.0,37385.0,4329.0,20476.0,2119.0,18.0,26.9,27.8,16.0,25.6,17.2,13.5,75.8,12.3,0.2,4.1,2.4,5.3,25.3,4052.0,65.8,22.1,12.1,0.0,10.0,White
Florida,Gulf County,REP,6113,16018.0,9595.0,6423.0,4.8,74.5,16.8,0.5,0.6,0.2,13312.0,44647.0,3144.0,21085.0,1472.0,14.9,19.6,29.4,28.0,21.5,10.9,10.2,71.1,17.7,0.0,0.8,3.9,6.5,22.4,5896.0,76.8,18.1,4.9,0.2,5.4,White
Florida,Hamilton County,REP,3815,14238.0,8228.0,6010.0,9.2,54.9,34.1,0.6,0.0,0.0,11116.0,36209.0,4821.0,16109.0,1564.0,26.6,35.5,28.3,27.7,18.2,11.4,14.3,79.4,13.1,0.2,2.2,1.0,4.1,23.4,3849.0,62.4,27.1,10.4,0.1,12.7,White
Florida,Hardee County,REP,6122,27326.0,14716.0,12610.0,43.2,47.4,7.9,0.2,0.6,0.0,18145.0,39063.0,3047.0,18643.0,2154.0,24.5,39.0,22.9,20.5,20.6,21.1,15.0,79.5,12.3,3.5,1.1,1.4,2.3,23.9,9857.0,77.5,14.4,8.0,0.0,9.1,White
Florida,Hendry County,REP,7906,39064.0,20716.0,18348.0,51.9,33.5,10.9,1.5,0.9,0.1,21740.0,37966.0,2224.0,18426.0,1570.0,25.5,31.1,20.7,13.7,19.0,32.0,14.6,64.4,14.6,8.8,3.1,4.9,4.2,29.4,16313.0,84.9,10.4,4.7,0.0,8.2,Hispanic
Florida,Hernando County,REP,70412,179144.0,85782.0,93362.0,12.2,79.3,4.9,0.3,1.2,0.0,142148.0,44324.0,1044.0,23495.0,498.0,14.3,20.7,29.6,19.9,29.7,10.1,10.7,82.0,9.1,0.2,0.9,1.9,5.8,29.6,63962.0,81.8,13.0,4.9,0.2,8.8,White
Florida,Highlands County,REP,34873,100177.0,48518.0,51659.0,18.9,68.4,9.3,0.3,1.5,0.0,76304.0,36374.0,1135.0,23020.0,1607.0,18.7,31.5,29.3,21.5,26.6,14.1,8.6,79.8,9.1,2.7,1.7,1.8,4.9,20.4,31980.0,79.8,13.7,6.2,0.3,11.5,White
Florida,Hillsborough County,DEM,376367,1351087.0,658639.0,692448.0,27.4,50.3,15.5,0.2,3.9,0.1,937597.0,53742.0,533.0,29806.0,267.0,15.7,21.2,38.4,17.9,26.5,8.6,8.6,80.1,8.8,1.5,1.5,1.9,6.2,27.3,647075.0,83.7,11.7,4.5,0.1,6.8,White
Florida,Holmes County,REP,8080,19483.0,10449.0,9034.0,2.7,87.1,7.3,1.1,0.2,0.2,15419.0,37474.0,4051.0,18402.0,1161.0,26.6,37.4,27.9,21.3,22.9,14.5,13.4,84.3,9.2,0.2,1.6,1.1,3.6,28.2,6391.0,71.8,20.6,7.6,0.0,11.5,White
Florida,Indian River County,REP,58872,147981.0,71064.0,76917.0,12.1,75.9,8.9,0.2,1.2,0.0,115848.0,49009.0,1267.0,33122.0,1274.0,12.7,20.1,32.6,21.0,27.2,11.2,8.1,79.6,9.7,0.4,0.9,1.9,7.6,22.4,56016.0,81.1,11.5,7.1,0.3,8.2,White
Florida,Jackson County,REP,15488,48571.0,26887.0,21684.0,4.6,65.5,26.8,0.7,0.6,0.1,38345.0,36944.0,1427.0,18126.0,676.0,21.6,31.6,29.1,27.1,23.1,10.4,10.4,88.6,6.1,0.0,1.3,1.6,2.4,23.0,16193.0,66.9,29.0,3.9,0.1,11.2,White
Florida,Jefferson County,REP,4479,14085.0,7554.0,6531.0,4.0,58.2,35.1,0.4,0.1,0.0,11470.0,47599.0,6872.0,22452.0,1605.0,13.9,19.2,40.8,22.1,21.0,10.1,6.0,84.5,10.3,0.0,0.6,0.4,4.2,28.7,4922.0,65.5,28.9,5.6,0.0,7.2,White
Florida,Lafayette County,REP,3128,8684.0,5104.0,3580.0,14.3,68.3,15.1,0.1,0.0,1.0,6541.0,41512.0,9747.0,21955.0,6091.0,17.8,19.2,32.4,16.5,20.8,15.9,14.3,81.0,14.7,0.2,1.9,0.9,1.3,27.2,2532.0,60.9,33.9,5.2,0.0,12.8,White
Florida,Lake County,REP,125859,326215.0,157897.0,168318.0,14.4,71.1,9.9,0.3,1.9,0.0,252229.0,49734.0,1173.0,25991.0,451.0,12.8,20.0,32.0,21.4,27.8,9.5,9.4,81.5,10.0,0.3,0.8,1.3,6.1,28.8,131532.0,82.8,11.8,5.3,0.1,7.2,White
Florida,Lee County,REP,233247,700165.0,342731.0,357434.0,20.2,68.4,8.2,0.2,1.5,0.0,515732.0,52052.0,572.0,30233.0,442.0,14.9,24.9,30.4,21.7,27.7,11.8,8.3,79.9,9.7,0.8,1.0,2.9,5.6,27.2,287128.0,83.2,10.3,6.2,0.2,7.1,White
Florida,Leon County,DEM,103517,285890.0,135980.0,149910.0,6.1,57.2,30.7,0.2,3.3,0.0,223032.0,49941.0,922.0,28548.0,568.0,20.5,18.8,45.1,18.2,26.4,5.2,5.1,80.7,9.4,1.6,2.4,2.0,3.9,20.8,143570.0,64.8,31.3,3.8,0.1,8.8,White
Florida,Levy County,REP,16749,39713.0,19415.0,20298.0,8.0,80.3,8.7,0.2,0.6,0.0,30999.0,36554.0,1796.0,21043.0,1582.0,21.9,35.6,23.3,23.7,24.4,16.9,11.6,80.6,10.9,0.0,1.5,1.1,5.9,30.0,14623.0,72.3,18.0,9.5,0.2,8.5,White
Florida,Liberty County,REP,2846,8347.0,5216.0,3131.0,4.9,74.9,18.2,0.4,0.4,0.0,6673.0,36741.0,3554.0,16937.0,2102.0,17.8,16.2,24.8,27.0,21.6,12.9,13.7,76.4,9.8,5.6,0.4,4.6,3.2,33.0,2466.0,54.2,38.7,7.1,0.0,9.6,White
Florida,Madison County,REP,5576,18518.0,9804.0,8714.0,5.1,54.4,38.8,0.2,1.0,0.0,14568.0,31816.0,2625.0,17192.0,1094.0,31.9,51.4,27.6,18.4,26.0,9.7,18.3,82.3,9.6,0.0,3.1,2.2,2.9,27.0,5985.0,67.1,27.2,5.3,0.4,8.1,White
Florida,Manatee County,REP,124987,363542.0,175761.0,187781.0,15.9,71.9,8.6,0.2,1.9,0.1,269879.0,53408.0,1088.0,30477.0,584.0,13.4,22.8,33.1,20.7,26.9,9.7,9.6,79.7,8.7,0.8,1.4,1.8,7.5,25.4,150640.0,83.1,10.9,5.8,0.2,6.6,White
Florida,Marion County,REP,127826,343778.0,164984.0,178794.0,12.4,71.3,12.3,0.3,1.5,0.0,270592.0,41964.0,878.0,23598.0,499.0,17.6,28.7,28.5,22.6,28.7,10.0,10.2,80.4,9.6,0.4,1.6,1.6,6.4,25.4,120343.0,80.0,12.7,6.8,0.5,9.0,White
Florida,Martin County,REP,61168,155719.0,77098.0,78621.0,13.2,79.0,5.4,0.2,1.3,0.1,121551.0,55588.0,1532.0,38021.0,1327.0,10.9,15.6,36.9,21.1,25.8,9.5,6.8,77.5,10.1,0.3,1.3,2.4,8.4,26.3,64614.0,81.9,11.2,6.7,0.3,6.5,White
Florida,Miami-Dade County,DEM,617864,2702602.0,1311997.0,1390605.0,67.5,13.7,16.3,0.1,1.5,0.0,1578079.0,46338.0,365.0,25481.0,212.0,19.0,25.4,31.7,21.1,27.4,9.4,10.3,76.8,8.9,5.2,2.1,2.0,4.9,31.3,1272735.0,82.4,9.6,7.8,0.2,7.4,Hispanic
Florida,Monroe County,REP,25693,76745.0,40218.0,36527.0,23.5,67.3,6.7,0.1,1.2,0.0,58492.0,63030.0,1692.0,39176.0,1453.0,12.7,16.7,30.8,24.1,26.0,11.2,7.9,69.1,7.7,1.9,4.6,10.8,5.9,17.8,39876.0,77.2,13.5,9.2,0.1,3.7,White
Florida,Nassau County,REP,42566,78435.0,38706.0,39729.0,3.8,87.5,6.1,0.4,0.9,0.0,61430.0,64294.0,2019.0,33337.0,1383.0,11.4,16.4,34.5,18.4,23.4,10.9,12.8,83.4,9.3,0.1,1.9,1.6,3.7,29.8,34780.0,80.6,13.8,5.5,0.0,5.7,White
Florida,Okaloosa County,REP,79798,197591.0,100239.0,97352.0,8.7,74.5,9.5,0.6,2.8,0.1,148106.0,59955.0,1565.0,30775.0,649.0,11.5,16.6,35.5,22.4,24.3,10.0,7.8,82.9,8.6,0.3,1.8,2.8,3.5,23.6,85823.0,73.2,20.1,6.5,0.2,6.1,White
Florida,Okeechobee County,REP,11470,40228.0,21767.0,18461.0,25.0,64.0,8.0,0.6,0.9,0.2,28113.0,39059.0,1686.0,18611.0,1053.0,22.3,34.0,21.3,22.2,21.9,20.8,13.8,80.6,13.3,0.2,1.9,1.7,2.3,24.0,14085.0,78.2,13.4,8.2,0.1,9.0,White
Florida,Orange County,DEM,395014,1290216.0,633835.0,656381.0,30.2,41.6,19.9,0.1,5.1,0.0,878929.0,51586.0,483.0,27394.0,312.0,16.7,23.4,36.3,20.9,26.3,7.3,9.2,79.0,9.7,2.7,1.2,2.1,5.3,27.6,642687.0,86.5,9.0,4.3,0.1,6.8,White
Florida,Osceola County,DEM,97297,325168.0,160216.0,164952.0,51.6,34.2,9.2,0.2,2.4,0.1,215543.0,47343.0,1259.0,20165.0,468.0,17.8,26.7,24.8,25.9,28.2,10.0,11.2,81.4,11.6,1.3,0.5,1.6,3.5,32.2,146390.0,86.0,10.3,3.6,0.1,6.6,Hispanic
Florida,Palm Beach County,DEM,433572,1426772.0,691154.0,735618.0,21.3,56.0,18.1,0.1,2.6,0.0,994387.0,57256.0,535.0,36303.0,410.0,13.4,20.3,36.0,21.9,25.8,9.1,7.2,78.5,9.7,1.9,1.5,2.0,6.4,25.3,655496.0,83.1,10.0,6.7,0.1,7.4,White
Florida,Pasco County,REP,179621,498136.0,242448.0,255688.0,14.0,76.4,5.0,0.3,2.4,0.1,378439.0,48289.0,813.0,26624.0,330.0,13.6,17.9,36.1,18.8,27.5,9.1,8.5,80.6,8.7,0.4,1.0,1.9,7.5,31.6,202690.0,81.8,12.5,5.5,0.3,7.0,White
Florida,Pinellas County,DEM,277450,949842.0,456017.0,493825.0,9.2,74.7,10.0,0.2,3.3,0.1,746969.0,48968.0,679.0,32120.0,344.0,13.7,20.2,37.7,18.4,28.0,7.2,8.6,79.1,7.8,1.8,1.6,3.0,6.7,24.4,438915.0,83.8,10.6,5.5,0.1,6.4,White
Florida,Polk County,REP,194586,652256.0,319775.0,332481.0,20.6,61.0,14.7,0.2,1.7,0.0,470595.0,45988.0,753.0,22579.0,270.0,17.3,27.0,29.9,20.7,25.6,10.6,13.3,82.2,10.1,0.5,1.1,1.9,4.2,26.0,263208.0,83.9,11.0,5.0,0.1,7.7,White
Florida,Putnam County,REP,25514,72435.0,35683.0,36752.0,9.8,71.7,16.2,0.3,0.6,0.0,55014.0,33619.0,1120.0,18950.0,616.0,27.6,44.2,23.3,22.8,24.0,15.9,14.0,78.5,12.7,0.7,1.8,1.9,4.4,27.9,25030.0,78.0,15.9,5.8,0.2,10.3,White
Florida,St. Johns County,REP,110946,226578.0,110112.0,116466.0,6.4,83.6,5.0,0.2,2.6,0.1,171715.0,73640.0,2446.0,39563.0,953.0,9.1,9.3,46.2,15.8,24.9,6.1,7.1,81.1,7.2,0.1,1.1,2.4,8.1,27.2,102778.0,81.8,13.2,4.8,0.3,5.3,White
Florida,St. Lucie County,REP,86831,298763.0,146025.0,152738.0,18.1,58.6,19.2,0.2,1.9,0.1,217389.0,47132.0,1477.0,24940.0,693.0,16.6,24.6,27.5,23.2,27.6,11.8,9.9,78.8,12.3,0.5,1.2,2.6,4.6,27.6,122153.0,82.4,11.6,5.9,0.1,7.6,White
Florida,Santa Rosa County,REP,77385,166778.0,85374.0,81404.0,5.2,82.9,5.8,0.5,1.9,0.1,126537.0,62731.0,1578.0,28908.0,655.0,11.3,16.1,37.7,15.9,26.0,10.9,9.4,83.2,9.9,0.1,0.5,1.1,5.1,28.7,70810.0,77.7,16.4,5.8,0.1,6.3,White
Florida,Sarasota County,REP,148370,404839.0,193328.0,211511.0,8.8,83.5,4.5,0.2,1.6,0.0,324231.0,55236.0,1026.0,37054.0,701.0,10.5,16.7,34.2,21.8,26.7,9.6,7.7,83.1,6.7,0.7,0.9,2.0,6.6,23.6,160224.0,81.6,9.6,8.6,0.2,5.7,White
Florida,Seminole County,DEM,132528,449260.0,217099.0,232161.0,20.1,62.3,10.6,0.1,4.2,0.1,334104.0,60739.0,1116.0,31363.0,527.0,11.8,15.3,44.8,15.6,26.9,5.8,6.9,82.0,7.7,0.8,0.7,1.6,7.1,27.1,220949.0,83.2,11.2,5.4,0.2,6.6,White
Florida,Sumter County,REP,62761,116754.0,58883.0,57871.0,5.7,84.7,7.3,0.3,0.7,0.0,105889.0,54771.0,2856.0,33168.0,1264.0,9.2,22.3,30.4,21.6,28.1,9.0,11.0,75.8,6.1,0.3,0.9,6.9,10.1,25.2,23889.0,79.2,13.0,7.6,0.2,6.6,White
Florida,Suwannee County,REP,16410,43814.0,22204.0,21610.0,8.8,75.7,13.3,0.1,0.1,0.0,32803.0,40600.0,3543.0,21565.0,1913.0,20.4,35.3,24.5,25.9,20.4,14.4,14.9,77.1,14.6,0.1,1.1,3.2,4.0,25.9,16629.0,76.5,16.9,6.4,0.2,9.1,White
Florida,Taylor County,REP,7751,22350.0,12547.0,9803.0,4.1,71.8,21.4,0.5,0.4,0.2,17778.0,37188.0,4545.0,16979.0,1260.0,16.4,21.3,26.6,22.2,23.6,12.0,15.6,80.9,14.7,0.0,0.9,2.7,0.7,24.2,6861.0,72.2,21.2,6.6,0.0,5.9,White
Florida,Union County,REP,5133,15300.0,9922.0,5378.0,5.4,69.9,21.9,0.7,0.5,0.0,12093.0,37460.0,6004.0,13485.0,1383.0,21.4,32.3,24.7,29.4,18.6,10.0,17.3,78.7,10.9,1.2,3.3,1.7,4.2,22.4,3800.0,61.3,32.9,5.5,0.2,9.8,White
Florida,Volusia County,REP,173821,518660.0,252651.0,266009.0,12.9,72.9,10.2,0.3,1.8,0.0,410687.0,43838.0,781.0,25871.0,544.0,16.1,24.0,31.3,20.8,26.8,10.9,10.2,80.5,8.9,1.1,1.2,2.6,5.8,25.4,212016.0,82.7,11.5,5.6,0.1,6.7,White
Florida,Wakulla County,REP,12874,31586.0,17528.0,14058.0,3.6,79.3,14.9,0.4,0.4,0.0,24756.0,57866.0,4026.0,22846.0,1104.0,12.6,15.9,33.3,19.5,25.5,14.2,7.5,84.6,10.1,0.0,1.3,0.8,3.2,32.7,13589.0,62.4,32.1,5.3,0.1,6.9,White
Florida,Walton County,REP,32947,63457.0,32216.0,31241.0,6.0,84.3,4.9,0.5,1.2,0.2,48942.0,50619.0,1771.0,30853.0,1560.0,17.0,30.9,35.5,21.3,24.7,11.7,6.8,80.0,9.3,0.2,1.2,2.1,7.2,28.2,27853.0,78.0,12.8,9.1,0.2,5.7,White
Florida,Washington County,REP,9876,24472.0,13300.0,11172.0,3.5,77.6,15.3,1.2,0.3,0.3,19272.0,36989.0,3048.0,18718.0,1038.0,21.0,28.5,28.9,22.4,22.2,14.1,12.3,86.8,7.3,0.2,0.5,2.3,2.9,30.5,8860.0,69.0,21.4,9.4,0.2,10.1,White
Georgia,Appling County,REP,6570,18471.0,9090.0,9381.0,9.7,69.6,17.9,0.6,0.8,0.0,13387.0,37089.0,3056.0,19936.0,1548.0,24.7,31.8,26.0,13.9,18.7,22.8,18.6,82.9,11.3,0.2,2.4,0.6,2.6,22.0,6951.0,78.8,16.2,4.9,0.2,7.7,White
Georgia,Atkinson County,REP,2300,8313.0,4112.0,4201.0,24.6,56.6,17.8,0.7,0.0,0.0,5245.0,33063.0,1483.0,19904.0,3123.0,27.4,45.6,21.6,9.7,22.2,23.0,23.5,82.7,11.6,0.0,2.2,2.2,1.2,22.9,3289.0,82.8,11.6,5.6,0.0,8.4,White
Georgia,Bacon County,REP,4017,11279.0,5599.0,5680.0,8.5,73.6,14.6,0.0,0.9,0.2,7903.0,38824.0,3793.0,18856.0,1372.0,23.2,34.4,30.7,12.0,22.4,18.6,16.2,79.1,15.1,1.2,1.3,1.3,2.1,20.4,4345.0,77.7,16.1,6.2,0.0,3.1,White
Georgia,Baker County,REP,897,3251.0,1547.0,1704.0,5.4,52.1,41.3,0.2,0.6,0.5,2512.0,43867.0,6318.0,22270.0,2612.0,19.5,19.4,28.5,11.4,27.8,19.9,12.4,88.8,8.0,0.0,1.1,0.6,1.5,27.4,1286.0,70.1,23.1,6.8,0.0,2.5,White
Georgia,Baldwin County,DEM,9140,45527.0,22893.0,22634.0,2.2,52.9,41.4,0.3,1.5,0.2,36104.0,37008.0,2546.0,20114.0,1154.0,27.8,37.0,30.3,26.9,20.2,9.8,12.8,85.2,8.8,0.4,2.5,1.4,1.7,21.7,17647.0,68.6,27.7,3.7,0.0,9.0,White
Georgia,Banks County,REP,7795,18363.0,9245.0,9118.0,6.4,88.4,2.5,0.2,1.2,0.0,13533.0,42182.0,3151.0,19451.0,977.0,14.3,17.9,24.8,17.0,22.4,16.4,19.5,80.6,12.5,0.0,2.0,0.6,4.4,30.2,7796.0,80.5,11.6,7.0,0.9,6.6,White
Georgia,Barrow County,REP,26804,75099.0,37033.0,38066.0,10.0,73.0,11.1,0.1,3.6,0.0,51848.0,56119.0,2078.0,22978.0,689.0,13.2,18.1,28.0,13.8,29.1,12.5,16.6,85.1,9.9,0.3,0.5,0.8,3.3,33.2,34265.0,82.9,12.5,4.5,0.1,6.8,White
Georgia,Bartow County,REP,37672,102623.0,50888.0,51735.0,8.2,78.2,10.5,0.2,0.9,0.0,73506.0,52393.0,2222.0,24931.0,977.0,14.2,19.1,29.9,16.6,22.8,12.1,18.6,81.9,9.7,0.8,0.7,1.6,5.3,27.9,46890.0,81.4,13.0,5.4,0.2,6.0,White
Georgia,Ben Hill County,REP,4111,17272.0,8259.0,9013.0,6.0,56.5,36.2,0.0,0.2,0.0,12517.0,32344.0,2976.0,16635.0,1067.0,30.4,43.1,24.3,18.1,18.7,11.3,27.6,84.3,10.9,0.0,1.5,2.6,0.6,17.5,6132.0,81.4,15.7,2.8,0.1,5.2,White
Georgia,Berrien County,REP,6419,19014.0,9297.0,9717.0,4.9,82.3,10.8,0.2,1.0,0.0,14081.0,38297.0,3248.0,18064.0,940.0,23.7,29.9,22.8,19.7,20.6,15.9,21.1,80.4,13.7,0.1,1.6,1.9,2.3,23.8,7062.0,77.3,17.7,4.8,0.3,9.4,White
Georgia,Bibb County,DEM,43408,153923.0,72312.0,81611.0,3.2,39.3,54.0,0.2,1.9,0.0,113107.0,38183.0,1684.0,23426.0,681.0,26.7,41.3,34.8,21.1,26.7,6.4,11.0,82.0,9.9,1.0,2.3,1.9,3.0,21.1,60590.0,79.8,15.9,4.1,0.1,10.4,Black
Georgia,Bleckley County,REP,4329,12779.0,5909.0,6870.0,2.7,68.8,27.7,0.1,0.2,0.0,9903.0,40688.0,3305.0,20667.0,3761.0,23.0,32.0,30.1,20.3,22.9,12.9,13.8,84.6,10.5,0.1,1.2,0.2,3.4,24.2,4227.0,65.5,29.4,5.1,0.0,7.7,White
Georgia,Brantley County,REP,6993,18411.0,9070.0,9341.0,2.1,92.6,3.1,0.1,0.7,0.1,13772.0,36812.0,3685.0,18220.0,1692.0,21.8,28.0,24.4,18.0,20.8,20.7,16.1,84.2,8.9,1.4,1.2,0.7,3.7,30.8,6430.0,75.0,18.0,6.8,0.2,7.8,White
